series,date,state,sector,value
abs,01/01/2019,Kedah,Services,26326.519
abs,01/01/2019,Kedah,Import Duties,223.615
abs,01/01/2019,Kelantan,Overall GDP,25479.178
abs,01/01/2019,Kelantan,Agriculture,5813.752
abs,01/01/2019,Kelantan,Mining & Quarrying,416.804
abs,01/01/2019,Kelantan,Manufacturing,1300.391
abs,01/01/2019,Kelantan,Construction,383.135
abs,01/01/2019,Kelantan,Services,17535.366
abs,01/01/2019,Kelantan,Import Duties,29.729
abs,01/01/2019,Melaka,Overall GDP,43583.397
abs,01/01/2019,Melaka,Agriculture,4433.169
abs,01/01/2019,Melaka,Mining & Quarrying,67.905
abs,01/01/2019,Melaka,Manufacturing,16744.806
abs,01/01/2019,Melaka,Construction,1357.797
abs,01/01/2019,Melaka,Services,20917.737
abs,01/01/2019,Melaka,Import Duties,61.984
abs,01/01/2019,Negeri Sembilan,Overall GDP,48033.554
abs,01/01/2019,Negeri Sembilan,Agriculture,3556.781
abs,01/01/2019,Negeri Sembilan,Mining & Quarrying,235.759
abs,01/01/2019,Negeri Sembilan,Manufacturing,17630.391
abs,01/01/2019,Negeri Sembilan,Construction,1842.634
abs,01/01/2019,Negeri Sembilan,Services,24037.373
abs,01/01/2019,Negeri Sembilan,Import Duties,730.616
abs,01/01/2019,Pahang,Overall GDP,58434.372
abs,01/01/2019,Pahang,Agriculture,12849.208
abs,01/01/2019,Pahang,Mining & Quarrying,819.669
abs,01/01/2019,Pahang,Manufacturing,12766.618
abs,01/01/2019,Pahang,Construction,1726.92
abs,01/01/2019,Pahang,Services,30217.041
abs,01/01/2019,Pahang,Import Duties,54.917
abs,01/01/2019,Perak,Overall GDP,75992.708
abs,01/01/2019,Perak,Agriculture,11312.41
abs,01/01/2019,Perak,Mining & Quarrying,504.554
abs,01/01/2019,Perak,Manufacturing,13683.259
abs,01/01/2019,Perak,Construction,2490.203
abs,01/01/2019,Perak,Services,47970.594
abs,01/01/2019,Perak,Import Duties,31.687
abs,01/01/2019,Perlis,Overall GDP,6151.334
abs,01/01/2019,Perlis,Agriculture,1333.94
abs,01/01/2019,Perlis,Mining & Quarrying,33.318
abs,01/01/2019,Perlis,Manufacturing,470.377
abs,01/01/2019,Perlis,Construction,166.658
abs,01/01/2019,Perlis,Services,4074.923
abs,01/01/2019,Perlis,Import Duties,72.118
abs,01/01/2019,Pulau Pinang,Overall GDP,94645.352
abs,01/01/2019,Pulau Pinang,Agriculture,2067.787
abs,01/01/2019,Pulau Pinang,Mining & Quarrying,171.449
abs,01/01/2019,Pulau Pinang,Manufacturing,40510.378
abs,01/01/2019,Pulau Pinang,Construction,2644.079
abs,01/01/2019,Pulau Pinang,Services,48645.481
abs,01/01/2019,Pulau Pinang,Import Duties,606.177
abs,01/01/2019,Sabah,Overall GDP,85641.69
abs,01/01/2019,Sabah,Agriculture,13719.07
abs,01/01/2019,Sabah,Mining & Quarrying,22736.44
abs,01/01/2019,Sabah,Manufacturing,6471.818
abs,01/01/2019,Sabah,Construction,3098.682
abs,01/01/2019,Sabah,Services,39428.467
abs,01/01/2019,Sabah,Import Duties,187.213
abs,01/01/2019,Sarawak,Overall GDP,136759.184
abs,01/01/2019,Sarawak,Agriculture,16578.352
abs,01/01/2019,Sarawak,Mining & Quarrying,30012.841
abs,01/01/2019,Sarawak,Manufacturing,36612.585
abs,01/01/2019,Sarawak,Construction,4476.115
abs,01/01/2019,Sarawak,Services,48761.022
abs,01/01/2019,Sarawak,Import Duties,318.269
abs,01/01/2019,Selangor,Overall GDP,345008.461
abs,01/01/2019,Selangor,Agriculture,4708.902
abs,01/01/2019,Selangor,Mining & Quarrying,859.075
abs,01/01/2019,Selangor,Manufacturing,95941.82
